Unnamed: 0,timeSec,x,y,z,dx,dy,direction
0.0,0.0,26.039776000000000,8.65097200000000,0.0,,,0.0
1.0,0.0333330000000000,26.95674500000000,8.327489999999999,0.0,0.9169700000000000,-0.3234820000000000,340.5685490000000
2.0,0.0666670000000000,27.82954200000000,8.114851000000000,0.0,0.8727960000000000,-0.21263899999999999,346.30780600000003
3.0,0.1,28.522151999999998,8.529919000000000,0.0,0.6926110000000000,0.4150690000000000,30.9334650000000
4.0,0.1333330000000000,29.58263800000000,8.737700999999999,0.0,1.0604860000000000,0.20778099999999999,11.085537000000000
5.0,0.1666670000000000,30.23593300000000,8.789135999999999,0.0,0.6532950000000000,0.05143500000000000,4.501708000000000
6.0,0.2,30.988869000000001,8.907292000000000,0.0,0.7529360000000000,0.11815600000000000,8.918526999999999
7.0,0.2333330000000000,31.946649000000001,8.816129999999999,0.0,0.9577790000000000,-0.09116200000000001,354.56295200000000
8.0,0.2666670000000000,32.90839100000000,8.730005000000000,0.0,0.9617420000000000,-0.08612499999999999,354.88276900000000
9.0,0.3,33.55481000000000,8.861402000000000,0.0,0.6464190000000000,0.1313960000000000,11.489875000000000
10.0,0.3333330000000000,34.2087960000000,8.810736000000000,0.0,0.6539870000000000,-0.05066600000000000,355.5700030000000
11.0,0.3666670000000000,35.171672999999998,8.8126940000000,0.0,0.9628770000000000,0.001959000000000000,0.11654100000000001
12.0,0.4,35.96666700000000,9.01240400000000,0.0,0.7949940000000000,0.19970900000000000,14.1013910000000
13.0,0.4333330000000000,37.05657500000000,8.571082000000001,0.0,1.089908000000000,-0.4413210000000000,337.9561870000000
14.0,0.4666670000000000,37.978211000000002,8.680873999999999,0.0,0.9216360000000000,0.10979200000000000,6.793474000000000
15.0,0.5,38.579967000000003,8.897622999999999,0.0,0.6017560000000000,0.21674800000000000,19.808671000000000
16.0,0.5333329999999999,39.28770000000000,9.15942400000000,0.0,0.7077329999999999,0.2618010000000000,20.30021200000000
17.0,0.5666670000000000,40.111745999999997,9.275824000000000,0.0,0.824047000000000,0.11640000000000000,8.040050000000001
18.0,0.6,40.97962800000000,9.245104000000000,0.0,0.867881000000000,-0.030720000000000001,357.9727850000000
19.0,0.6333330000000000,41.8079150000000,9.307043000000000,0.0,0.8282870000000000,0.06193900000000000,4.276620000000000
20.0,0.6666670000000000,42.25493200000000,9.369062000000000,0.0,0.44701700000000000,0.062018999999999998,7.898808000000000
21.0,0.7,43.11317600000000,9.403133000000000,0.0,0.8582450000000000,0.03407000000000000,2.2733140000000001
22.0,0.7333330000000000,43.85755000000000,9.409367000000000,0.0,0.7443730000000000,0.006234000000000000,0.4798200000000000
23.0,0.7666670000000000,44.57103300000000,9.51605800000000,0.0,0.7134830000000000,0.10669200000000000,8.504801000000000
24.0,0.8,45.30816800000000,9.552002000000000,0.0,0.7371350000000000,0.03594300000000000,2.791591000000000
25.0,0.8333330000000000,45.9754040000000,9.423603000000000,0.0,0.6672360000000001,-0.12839900000000001,349.1074710000000
26.0,0.8666670000000000,46.57432800000000,9.39214300000000,0.0,0.5989240000000000,-0.03146000000000000,356.993130000000
27.0,0.9,46.92055500000000,9.574090999999999,0.0,0.34622700000000001,0.1819490000000000,27.722795999999999
28.0,0.9333330000000000,47.17828300000000,10.059965000000000,0.0,0.2577280000000000,0.485874000000000,62.05661900000000
29.0,0.9666670000000001,47.490079999999999,10.546353999999999,0.0,0.3117970000000000,0.48638799999999999,57.33832400000000
30.0,1.0,47.65074700000000,10.847635000000000,0.0,0.16066700000000000,0.30128100000000002,61.929948000000003
31.0,1.0333330000000001,48.07162000000000,11.328096000000000,0.0,0.42087300000000000,0.48046100000000003,48.78239700000000
32.0,1.0666670000000000,47.912216000000001,11.86807000000000,0.0,-0.15940299999999999,0.5399740000000000,106.44689900000000
33.0,1.1,48.016750000000002,12.432679000000000,0.0,0.10453400000000000,0.5646090000000000,79.51083199999999
34.0,1.1333329999999999,47.81064400000000,12.9856650000000,0.0,-0.20610500000000001,0.5529860000000000,110.44111100000001
35.0,1.1666669999999999,47.62241300000000,13.657984000000001,0.0,-0.18823100000000001,0.6723190000000000,105.6408310000000
36.0,1.2,47.77449000000000,14.083667000000000,0.0,0.1520780000000000,0.42568200000000000,70.34043200000
37.0,1.2333330000000000,48.02515500000000,13.430591000000000,0.0,0.2506640000000000,-0.6530750000000000,290.9978730000000
38.0,1.2666670000000000,48.09856600000000,14.013218999999999,0.0,0.07341100000000000,0.5826270000000000,82.81855800000000
39.0,1.3,48.14644200000000,14.596412000000001,0.0,0.047876000000000002,0.5831940000000000,85.30696300000000
40.0,1.3333330000000001,48.24203600000000,14.998647000000000,0.0,0.09559400000000000,0.4022350000000000,76.6312200000000
41.0,1.3666670000000001,48.39832100000000,15.535817000000000,0.0,0.15628500000000001,0.5371700000000000,73.77809300000000
42.0,1.4,48.109400999999998,15.262027000000000,0.0,-0.2889200000000000,-0.27378900000000000,223.4597280000000
43.0,1.4333330000000000,48.5429120000000,15.421725000000000,0.0,0.4335110000000000,0.15969800000000001,20.222874000000001
44.0,1.4666669999999999,48.61280500000000,15.789431000000000,0.0,0.0698930000000000,0.36770599999999998,79.23772200000001
45.0,1.5,48.44295100000000,16.411432999999999,0.0,-0.16985300000000000,0.6220030000000000,105.2736660000000
46.0,1.5333330000000001,48.55698900000000,17.20614300000000,0.0,0.11403700000000000,0.7947090000000000,81.834062000000
47.0,1.5666670000000000,49.20896200000000,17.726939999999999,0.0,0.651973000000000,0.5207970000000000,38.617919999999998
48.0,1.6,49.81362800000000,18.26740000000000,0.0,0.6046660000000000,0.5404590000000000,41.79081500000000
49.0,1.6333329999999999,49.95416300000000,18.781023000000001,0.0,0.1405350000000000,0.5136230000000001,74.69756300000000
50.0,1.6666669999999999,50.29793600000000,19.128907000000002,0.0,0.3437730000000000,0.34788500000000000,45.340604999999996
51.0,1.7,50.05775900000000,19.387546000000000,0.0,-0.24017600000000000,0.2586390000000000,132.88029599999999
52.0,1.7333330000000000,50.15792500000000,19.618169999999999,0.0,0.10016600000000001,0.23062400000000000,66.52350400000000
